date,miner_revenue
2012-06-25,48676.7264531896
2012-06-26,47942.60408042823
2012-06-27,54092.40432293854
2012-06-28,45354.88216957195
2012-06-29,48632.50470136046
2012-06-30,44247.03102251302
2012-07-01,47129.82473861047
2012-07-02,51500.6113091825
2012-07-03,51679.44123143543
2012-07-04,48912.17627017538
2012-07-05,48028.20135938632
2012-07-06,51481.31821644244
2012-07-07,56551.51525237686
2012-07-08,52090.39225710778
2012-07-09,56724.86312303108
2012-07-10,54171.95125894121
2012-07-11,48158.089225007
2012-07-12,57769.56186743839
2012-07-13,62427.24142156379
2012-07-14,60850.34045550553
2012-07-15,53481.20397235674
2012-07-16,63767.10429342477
2012-07-17,75400.75758055107
2012-07-18,70671.87607653136
2012-07-19,59973.16489343512
2012-07-20,63505.14804551464
2012-07-21,62537.99636710286
2012-07-22,65508.78219566839
2012-07-23,59716.4655625061
2012-07-24,69062.9397477984
2012-07-25,70542.43010052985
2012-07-26,75284.96641782318
2012-07-27,79362.9398339
2012-07-28,67909.51177782423
2012-07-29,72450.90310815444
2012-07-30,80131.11023464137
2012-07-31,60784.63659367438
2012-08-01,63868.88442721225
2012-08-02,87441.45290843795
2012-08-03,88116.95890569755
2012-08-04,85237.14808495349
2012-08-05,75649.40941262677
2012-08-06,76161.13907547343
2012-08-07,90008.19271426054
2012-08-08,92392.0592913074
2012-08-09,94774.31431747603
2012-08-10,89135.52325071915
2012-08-11,96936.07045228755
2012-08-12,92606.21137609085
2012-08-13,96482.34566690697
2012-08-14,95912.01429143005
2012-08-15,111054.9009416196
2012-08-16,104149.384547289
2012-08-17,80951.46445317476
2012-08-18,86307.02868125009
2012-08-19,72247.46091998853
2012-08-20,87914.01301426704
2012-08-21,85937.34154927869
2012-08-22,76377.4959089522
2012-08-23,83535.3233877232
2012-08-24,78746.24163924297
2012-08-25,73087.66097942252
2012-08-26,94693.43714088076
2012-08-27,79548.22185180063
2012-08-28,82326.52568012796
2012-08-29,91539.39182013048
2012-08-30,83259.89379394474
2012-08-31,71160.88019403623
2012-09-01,80667.01511182505
2012-09-02,84004.75293357829
2012-09-03,83005.84190476782
2012-09-04,79608.39299362223
2012-09-05,99076.27375545898
2012-09-06,95917.28932742638
2012-09-07,92647.55554421328
2012-09-08,80278.22505673456
2012-09-09,88277.22842250999
2012-09-10,83720.42885301844
2012-09-11,81732.79383329279
2012-09-12,88109.12138191388
2012-09-13,74148.38941567135
2012-09-14,95263.17442853918
2012-09-15,84287.02787933218
2012-09-16,95673.01302360128
2012-09-17,100109.4759828544
2012-09-18,102936.4224157802
2012-09-19,88548.5430873204
2012-09-20,93984.07429634608
2012-09-21,104672.6844436307
2012-09-22,96080.9081672165
2012-09-23,95796.73541281336
2012-09-24,92844.98755490484
2012-09-25,84508.66171131349
2012-09-26,86571.14031123887
2012-09-27,99355.17410700979
2012-09-28,97741.3359907848
2012-09-29,104026.7517354669
2012-09-30,98521.02864503712
2012-10-01,79113.10793251068
2012-10-02,93051.30404155325
2012-10-03,86285.66079594514
2012-10-04,85298.12435169035
2012-10-05,86710.568384841
2012-10-06,97193.0589724174
2012-10-07,74158.98114179939
2012-10-08,104933.2950530129
2012-10-09,84681.50328535723
2012-10-10,90385.04463410139
2012-10-11,83278.1440790532
2012-10-12,89077.0216299966
2012-10-13,88054.20688325402
2012-10-14,74677.97963203334
2012-10-15,99978.78533673694
2012-10-16,91860.9760309585
2012-10-17,85454.9320770844
2012-10-18,93749.80742484171
2012-10-19,79602.56907260756
2012-10-20,92674.77764247412
2012-10-21,94156.38795945492
2012-10-22,92394.70680572033
2012-10-23,76367.46170597909
2012-10-24,94613.11145503109
2012-10-25,77073.42611632866
2012-10-26,84150.34941994026
2012-10-27,90445.46320553927
2012-10-28,88787.95093953084
2012-10-29,83871.35434072564
2012-10-30,77807.40086904413
2012-10-31,79733.12167898413
2012-11-01,72748.36176803177
2012-11-02,74753.93645522856
2012-11-03,77889.8148208092
2012-11-04,85174.34502295198
2012-11-05,85917.0200504112
2012-11-06,73392.85829164973
2012-11-07,85690.9328711074
2012-11-08,83863.38881736623
2012-11-09,82405.83033760874
2012-11-10,78534.9687890783
2012-11-11,77608.14174427743
2012-11-12,72248.38234976257
2012-11-13,76395.13827763044
2012-11-14,78539.7562470374
2012-11-15,75972.9747175739
2012-11-16,85523.60307956833
2012-11-17,82823.71249958623
2012-11-18,85044.44954774585
2012-11-19,86181.14802297897
2012-11-20,86066.423193028
2012-11-21,89264.83023043351
2012-11-22,89012.92411758685
2012-11-23,100868.4172514623
2012-11-24,93668.43172040241
2012-11-25,91658.43259236166
2012-11-26,96263.3570713119
2012-11-27,91185.58294982152
2012-11-28,106281.7683128853
2012-11-29,52036.7959730175
2012-11-30,39517.17784334908
2012-12-01,47759.56405741513
2012-12-02,44647.97174545311
2012-12-03,46736.01854847177
2012-12-04,37925.5672229175
2012-12-05,40623.44967697858
2012-12-06,46165.72443109158
2012-12-07,43722.55333802778
2012-12-08,47067.26379489775
2012-12-09,42371.6293099893
2012-12-10,48537.88981234618
2012-12-11,49065.96012987784
2012-12-12,44743.21662660583
2012-12-13,45580.49547942615
2012-12-14,36488.87144507061
2012-12-15,39509.40260454876
2012-12-16,37545.27088531327
2012-12-17,42074.68788139537
2012-12-18,41937.657537386
2012-12-19,48506.13439629006
2012-12-20,36344.00959332825
2012-12-21,42462.86889034505
