date,lth_supply
2012-01-31,5138249.30639547
2012-02-01,5140526.95313872
2012-02-02,5145778.75529727
2012-02-03,5151577.5350907
2012-02-04,5160420.83219087
2012-02-05,5164467.44340606
2012-02-06,5164667.45534245
2012-02-07,5167122.34878004
2012-02-08,5173051.76258788
2012-02-09,5198514.22926675
2012-02-10,5198604.32779764
2012-02-11,5188232.00593075
2012-02-12,5192984.4395162
2012-02-13,5152224.95904625
2012-02-14,5127598.50710548
2012-02-15,5130887.53276843
2012-02-16,5132234.36449263
2012-02-17,5136602.97189789
2012-02-18,5135644.05886952
2012-02-19,5137868.60395793
2012-02-20,5143375.73383207
2012-02-21,5147580.93025758
2012-02-22,5149378.09039899
2012-02-23,5152110.27581128
2012-02-24,5150616.0562319
2012-02-25,5155176.23159303
2012-02-26,5158478.60526319
2012-02-27,5160792.10640126
2012-02-28,5165352.42492577
2012-02-29,5149956.6427852
2012-03-01,5155112.0602355
2012-03-02,5158063.00100699
2012-03-03,5155358.95856072
2012-03-04,5159134.59831268
2012-03-05,5160611.16983405
2012-03-06,5163572.46500704
2012-03-07,5167471.77620266
2012-03-08,5169729.01530078
2012-03-09,5171910.67988827
2012-03-10,5176315.73192307
2012-03-11,5174677.84188366
2012-03-12,5180629.06953992
2012-03-13,5180092.85643745
2012-03-14,5184049.48551428
2012-03-15,5188416.45419668
2012-03-16,5186565.77091488
2012-03-17,5187595.17945508
2012-03-18,5185365.93055448
2012-03-19,5190863.46350853
2012-03-20,5212445.20952032
2012-03-21,5212822.10701651
2012-03-22,5219351.41852849
2012-03-23,5216642.51172572
2012-03-24,5218002.31640451
2012-03-25,5223316.35420144
2012-03-26,5238860.62186752
2012-03-27,5243301.61444611
2012-03-28,5247039.01614887
2012-03-29,5260398.59808639
2012-03-30,5214620.06667858
2012-03-31,5224290.67365604
2012-04-01,5245852.25657882
2012-04-02,5247588.85785957
2012-04-03,5239076.1262809
2012-04-04,5241227.43684677
2012-04-05,5242235.92889985
2012-04-06,5242070.91184521
2012-04-07,5247097.24483622
2012-04-08,5249626.20511841
2012-04-09,5249753.82644726
2012-04-10,5255769.07937948
2012-04-11,5252171.15825083
2012-04-12,5355138.01666401
2012-04-13,5355238.13279545
2012-04-14,5358953.36826951
2012-04-15,5362312.56090536
2012-04-16,5361727.66352562
2012-04-17,5371194.79960129
2012-04-18,5377134.7655347
2012-04-19,5581387.07626021
2012-04-20,5586015.04544192
2012-04-21,5596102.73796286
2012-04-22,5601095.82145627
2012-04-23,5600644.74417981
2012-04-24,5612038.49671385
2012-04-25,5509379.40127364
2012-04-26,5509092.34444112
2012-04-27,5515762.81160632
2012-04-28,5520791.73648639
2012-04-29,5552846.83571038
2012-04-30,5547050.95949326
2012-05-01,5556855.98695275
2012-05-02,5565075.15835459
2012-05-03,5569860.30201901
2012-05-04,5577025.59151943
2012-05-05,5582196.97196404
2012-05-06,5583660.375503
2012-05-07,5586575.71928109
2012-05-08,5597421.22732864
2012-05-09,5600101.55952905
2012-05-10,5606465.82041571
2012-05-11,5621832.42524606
2012-05-12,5600595.76737242
2012-05-13,5600677.95802374
2012-05-14,5596736.75556009
2012-05-15,5598291.38911832
2012-05-16,5598502.9677179
2012-05-17,5606554.10623053
2012-05-18,5606723.20084704
2012-05-19,5612274.8196731
2012-05-20,5608145.64034949
2012-05-21,5604452.89384592
2012-05-22,5605291.63351713
2012-05-23,5636810.7042927
2012-05-24,5646566.358563
2012-05-25,5666229.81035203
2012-05-26,5667719.18160687
2012-05-27,5665927.06586376
2012-05-28,5667968.99750236
2012-05-29,5669734.87608171
2012-05-30,5674843.90923909
2012-05-31,5648821.55447189
2012-06-01,5654999.74762352
2012-06-02,5659397.01480696
2012-06-03,5661771.61936888
2012-06-04,5714684.44331643
2012-06-05,5716989.44627756
2012-06-06,5724915.12022665
2012-06-07,5733747.10347853
2012-06-08,5743124.1332891
2012-06-09,5753673.98338725
2012-06-10,5762524.11737648
2012-06-11,5774200.28154861
2012-06-12,5817917.52288714
2012-06-13,5828919.08453663
2012-06-14,5830680.80048846
2012-06-15,5837671.04589817
2012-06-16,5875081.27051889
2012-06-17,5886084.82635362
2012-06-18,5892281.85886601
2012-06-19,5898350.67798437
2012-06-20,5892837.49760088
2012-06-21,5900817.05906616
2012-06-22,5944820.28949627
2012-06-23,5959770.16710724
2012-06-24,5954136.18221648
2012-06-25,5968865.8520747
2012-06-26,5976342.12403917
2012-06-27,5983987.08035189
2012-06-28,5992913.35280964
2012-06-29,6009256.82811312
2012-06-30,6018409.33664848
2012-07-01,6022297.12858523
2012-07-02,6030751.64733583
2012-07-03,6042316.44252917
2012-07-04,6054238.41725778
2012-07-05,6068918.45266011
2012-07-06,6073205.06087458
2012-07-07,6071359.28397506
2012-07-08,6088236.33874509
2012-07-09,6087068.591001
2012-07-10,6048103.54431144
2012-07-11,6050421.76761603
2012-07-12,6055044.67577038
2012-07-13,6048195.86315249
2012-07-14,6017953.91694216
2012-07-15,6022993.46492171
2012-07-16,6024049.3322787
2012-07-17,5989249.87388285
2012-07-18,5994017.64360235
2012-07-19,5999973.62978152
2012-07-20,6007047.78641523
2012-07-21,6011916.58947644
2012-07-22,6018835.18906895
2012-07-23,6020240.98220562
2012-07-24,6023879.44239721
2012-07-25,6026942.46713463
2012-07-26,6032306.94534566
2012-07-27,6031171.93590255
2012-07-28,6031141.71135527
2012-07-29,6062950.45104968
2012-07-30,6068128.35282237
2012-07-31,6073025.3553601
2012-08-01,6076013.48914301
2012-08-02,6092374.33159376
2012-08-03,6096333.5886396
2012-08-04,6115111.32504671
2012-08-05,6118539.76427745
2012-08-06,6119533.95266727
2012-08-07,6116107.79466405
2012-08-08,6099568.37374734
2012-08-09,6106463.24164174
2012-08-10,6110466.80489807
2012-08-11,6111303.48466883
2012-08-12,6113775.43850979
2012-08-13,6115775.37976728
2012-08-14,6115636.65167295
2012-08-15,6108476.65865893
2012-08-16,6107473.35745976
2012-08-17,6075943.82643052
2012-08-18,6054104.79617295
2012-08-19,6043715.84689632
2012-08-20,6043197.94987371
2012-08-21,6043161.55255852
2012-08-22,6045618.55718919
2012-08-23,6043087.28756789
2012-08-24,6044123.30145816
2012-08-25,6051779.72601435
2012-08-26,6054717.49140369
2012-08-27,6041968.8712451
2012-08-28,6037742.88190669
2012-08-29,6043428.6575716
