date,addresses_nonzero_balance
2010-11-23,59805.0
2010-11-24,59843.0
2010-11-25,60004.0
2010-11-26,60155.0
2010-11-27,60253.0
2010-11-28,60415.0
2010-11-29,60442.0
2010-11-30,60616.0
2010-12-01,60629.0
2010-12-02,60719.0
2010-12-03,60659.0
2010-12-04,60873.0
2010-12-05,61074.0
2010-12-06,61316.0
2010-12-07,61402.0
2010-12-08,61608.0
2010-12-09,61778.0
2010-12-10,61975.0
2010-12-11,62285.0
2010-12-12,62635.0
2010-12-13,62468.0
2010-12-14,62754.0
2010-12-15,63045.0
2010-12-16,63241.0
2010-12-17,63423.0
2010-12-18,63671.0
2010-12-19,63780.0
2010-12-20,63860.0
2010-12-21,64074.0
2010-12-22,64179.0
2010-12-23,64408.0
2010-12-24,64591.0
2010-12-25,64884.0
2010-12-26,65093.0
2010-12-27,65005.0
2010-12-28,65253.0
2010-12-29,65341.0
2010-12-30,65452.0
2010-12-31,65623.0
2011-01-01,65811.0
2011-01-02,65909.0
2011-01-03,65967.0
2011-01-04,66158.0
2011-01-05,66113.0
2011-01-06,66165.0
2011-01-07,66307.0
2011-01-08,66491.0
2011-01-09,66635.0
2011-01-10,66819.0
2011-01-11,66960.0
2011-01-12,67136.0
2011-01-13,67024.0
2011-01-14,66938.0
2011-01-15,67137.0
2011-01-16,67251.0
2011-01-17,67469.0
2011-01-18,67580.0
2011-01-19,67686.0
2011-01-20,67880.0
2011-01-21,67979.0
2011-01-22,68113.0
2011-01-23,68103.0
2011-01-24,68287.0
2011-01-25,68461.0
2011-01-26,68563.0
2011-01-27,68507.0
2011-01-28,68697.0
2011-01-29,68833.0
2011-01-30,68944.0
2011-01-31,69031.0
2011-02-01,69033.0
2011-02-02,69085.0
2011-02-03,69155.0
2011-02-04,69244.0
2011-02-05,69193.0
2011-02-06,69281.0
2011-02-07,69367.0
2011-02-08,69454.0
2011-02-09,69762.0
2011-02-10,70406.0
2011-02-11,71290.0
2011-02-12,72038.0
2011-02-13,72426.0
2011-02-14,72186.0
2011-02-15,72529.0
2011-02-16,72786.0
2011-02-17,73522.0
2011-02-18,73986.0
2011-02-19,74305.0
2011-02-20,74783.0
2011-02-21,75401.0
2011-02-22,75962.0
