date,realized_marketcap
2012-09-06,59957577.91
2012-09-07,60123530.85
2012-09-08,60244924.06
2012-09-09,60467175.18
2012-09-10,61394319.53
2012-09-11,61478919.98
2012-09-12,61709611.84
2012-09-13,61908549.07
2012-09-14,62105928.84
2012-09-15,62366517.51
2012-09-16,62587656.4
2012-09-17,62833549.91
2012-09-18,63086843.48
2012-09-19,63530512.93
2012-09-20,64058676.79
2012-09-21,64288166.58
2012-09-22,64461282.77
2012-09-23,64574906.47
2012-09-24,64728968.08
2012-09-25,64893679.47
2012-09-26,65084185.44
2012-09-27,65353161.53
2012-09-28,65688032.69
2012-09-29,65920253.44
2012-09-30,66094701.39
2012-10-01,66234949.07
2012-10-02,66513428.42
2012-10-03,66874708.6
2012-10-04,67129851.07
2012-10-05,67258642.05
2012-10-06,67367440.51
2012-10-07,67376101.06
2012-10-08,67493329.35
2012-10-09,67613808.88
2012-10-10,67749855.88
2012-10-11,67856034.81
2012-10-12,67982906.62
2012-10-13,68069098.2
2012-10-14,68196449.64
2012-10-15,68245174.55
2012-10-16,68434093.34
2012-10-17,68661329.62
2012-10-18,68803892.51
2012-10-19,68907500.46
2012-10-20,68971003.73
2012-10-21,69217991.27
2012-10-22,69279445.64
2012-10-23,69386750.09
2012-10-24,69497818.28
2012-10-25,69548107.56
2012-10-26,69474777.48
2012-10-27,69417487.3
2012-10-28,69470524.75
2012-10-29,69552213.88
2012-10-30,69631428.64
2012-10-31,69762578.5
2012-11-01,69842967.03
2012-11-02,69856306.92
2012-11-03,69905258.07
2012-11-04,70021335.99
2012-11-05,70110446.38
2012-11-06,70173680.48
2012-11-07,70302564.92
2012-11-08,70388085.89
2012-11-09,70486751.42
2012-11-10,70568536.84
2012-11-11,70663262.27
2012-11-12,70821540.9
2012-11-13,70977806.65
2012-11-14,71094474.21
2012-11-15,71225160.44
2012-11-16,71482901.45
2012-11-17,71656219.8
2012-11-18,71824905.57
2012-11-19,72008213.67
2012-11-20,72154930.63
2012-11-21,72307915.58
2012-11-22,72495325.26
2012-11-23,72709916.68
2012-11-24,72924531.63
2012-11-25,73152276.81
2012-11-26,73421239.99
2012-11-27,73556572.37
2012-11-28,73748775.1
2012-11-29,73884705.71
2012-11-30,74058752.86
2012-12-01,74164082.13
2012-12-02,74246599.69
2012-12-03,74397934.93
2012-12-04,74908670.79
2012-12-05,75258350.8
2012-12-06,75497623.32
2012-12-07,75835711.53
2012-12-08,75963445.17
2012-12-09,76127368.36
2012-12-10,76281239.99
2012-12-11,76463352.18
2012-12-12,76700493.64
2012-12-13,77021632.57
2012-12-14,77210444.73
2012-12-15,77271779.78
2012-12-16,77373818.16
2012-12-17,77406364.11
2012-12-18,77509664.93
2012-12-19,77659720.41
2012-12-20,77846229.48
2012-12-21,77998156.91
2012-12-22,78059448.21
2012-12-23,78097458.81
2012-12-24,78139660.28
2012-12-25,78191043.15
2012-12-26,78261008.29
2012-12-27,78322881.23
2012-12-28,78429188.7
2012-12-29,78505044.88
2012-12-30,78598691.93
2012-12-31,78856219.05
2013-01-01,78930369.56
2013-01-02,79000115.66
2013-01-03,79084922.98
2013-01-04,79221017.35
2013-01-05,79280399.31
2013-01-06,79328424.79
2013-01-07,79412481.21
2013-01-08,79623515.18
2013-01-09,79778236.35
2013-01-10,80093616.15
2013-01-11,80317430.07
2013-01-12,80445981.72
2013-01-13,80568627.61
2013-01-14,80704294.43
2013-01-15,80954251.72
2013-01-16,81224220.17
2013-01-17,81719004.8
2013-01-18,82162267.87
2013-01-19,82393728.4
2013-01-20,82584216.46
2013-01-21,83156550.79
2013-01-22,84288702.2
2013-01-23,84767862.77
2013-01-24,85722357.04
2013-01-25,85833342.82
2013-01-26,86017786.66
2013-01-27,86757181.35
2013-01-28,87364277.78
2013-01-29,88729211.06
2013-01-30,89856714.1
2013-01-31,91263559.38
2013-02-01,93312443.76
2013-02-02,93636641.65
2013-02-03,94021218.32
2013-02-04,94492149.28
2013-02-05,95028206.91
2013-02-06,95625459.45
2013-02-07,96216708.15
2013-02-08,97329933.45
2013-02-09,98190342.82
2013-02-10,98729808.0
2013-02-11,99430511.53
2013-02-12,100527900.99
2013-02-13,102030063.12
2013-02-14,103336140.1
2013-02-15,105075810.55
2013-02-16,106107580.36
2013-02-17,106991674.95
2013-02-18,107745247.99
2013-02-19,109032447.44
2013-02-20,110508800.11
2013-02-21,111537329.17
2013-02-22,112927247.28
2013-02-23,113474492.88
2013-02-24,114373792.08
2013-02-25,117371996.97
2013-02-26,118633001.63
2013-02-27,119292466.51
2013-02-28,122347752.93
2013-03-01,123962495.63
2013-03-02,124903019.57
2013-03-03,125585707.4
2013-03-04,127040576.74
2013-03-05,130880725.5
2013-03-06,138234043.31
2013-03-07,140502714.03
2013-03-08,141797806.2
2013-03-09,144069255.96
2013-03-10,145776767.15
2013-03-11,147745107.61
2013-03-12,149168376.67
2013-03-13,151424045.63
2013-03-14,153440363.76
2013-03-15,155327289.93
2013-03-16,156432653.51
2013-03-17,157549553.91
2013-03-18,159184596.83
2013-03-19,164869544.68
2013-03-20,170746263.68
2013-03-21,180086616.82
2013-03-22,186776508.79
2013-03-23,188442901.07
2013-03-24,192427297.03
2013-03-25,199862297.95
2013-03-26,205393423.43
2013-03-27,213927714.44
2013-03-28,223819096.66
2013-03-29,229615466.63
2013-03-30,237283501.33
2013-03-31,240713013.18
2013-04-01,253592755.83
2013-04-02,265466187.78
2013-04-03,294053326.28
2013-04-04,305712684.15
2013-04-05,329154636.86
2013-04-06,337669426.29
2013-04-07,349222914.33
2013-04-08,379733755.97
2013-04-09,439473161.46
2013-04-10,474549977.09
2013-04-11,450349748.8
2013-04-12,419997861.78
2013-04-13,423059183.54
2013-04-14,423698240.77
2013-04-15,420785981.0
2013-04-16,413791685.08
2013-04-17,417492369.74
2013-04-18,421275163.77
2013-04-19,430500763.92
2013-04-20,436792493.97
2013-04-21,442717382.54
2013-04-22,447144117.19
2013-04-23,455353241.48
2013-04-24,473456241.91
2013-04-25,494479831.97
2013-04-26,497400214.71
2013-04-27,502506322.26
2013-04-28,505125744.95
2013-04-29,512410923.72
2013-04-30,516585304.84
2013-05-01,514164131.93
2013-05-02,511860414.49
2013-05-03,508749177.84
2013-05-04,509665116.34
2013-05-05,511882807.3
2013-05-06,514511445.06
2013-05-07,514633080.42
2013-05-08,515340456.76
2013-05-09,515997708.38
2013-05-10,515764841.84
2013-05-11,518551733.25
2013-05-12,519761041.92
2013-05-13,521110932.94
2013-05-14,521743350.86
2013-05-15,522990309.53
2013-05-16,523522434.66
2013-05-17,524925177.64
2013-05-18,528331488.39
2013-05-19,529276176.31
2013-05-20,530448364.31
2013-05-21,531440613.06
2013-05-22,532738658.03
2013-05-23,534493265.41
2013-05-24,537492047.52
2013-05-25,543620290.35
2013-05-26,544680605.3
2013-05-27,546439865.29
2013-05-28,547796876.09
2013-05-29,550662944.02
2013-05-30,552948695.35
2013-05-31,555170754.78
2013-06-01,556875348.68
2013-06-02,558255541.86
2013-06-03,559459612.63
2013-06-04,561158048.01
2013-06-05,563306237.12
2013-06-06,566946358.84
2013-06-07,567007426.0
2013-06-08,567081202.71
2013-06-09,566364571.31
2013-06-10,566465466.82
2013-06-11,567874344.78
2013-06-12,568510170.04
2013-06-13,568457451.45
2013-06-14,568203150.78
2013-06-15,568393904.42
2013-06-16,568849478.79
2013-06-17,568898701.5
2013-06-18,569424882.46
2013-06-19,570014323.47
2013-06-20,570531554.3
2013-06-21,570367774.01
2013-06-22,570662520.99
2013-06-23,570826571.49
2013-06-24,571329891.69
2013-06-25,571858291.58
2013-06-26,572315179.51
2013-06-27,572388797.08
2013-06-28,571862235.03
2013-06-29,571726795.53
2013-06-30,571279330.39
2013-07-01,571958544.4
2013-07-02,572514181.99
2013-07-03,571695759.83
2013-07-04,570404930.83
2013-07-05,566155804.23
2013-07-06,562256943.19
2013-07-07,561911317.04
2013-07-08,562538337.02
2013-07-09,562310867.51
2013-07-10,564471437.34
2013-07-11,565717444.8
2013-07-12,568218622.99
2013-07-13,569935808.4
2013-07-14,570778845.67
2013-07-15,571566246.02
2013-07-16,571776035.71
2013-07-17,571616705.43
2013-07-18,569928888.43
2013-07-19,569557148.68
2013-07-20,569679189.18
2013-07-21,569824549.13
2013-07-22,569895321.69
2013-07-23,570296082.07
2013-07-24,570810203.78
2013-07-25,571584362.83
2013-07-26,572061931.68
2013-07-27,572473309.6
2013-07-28,573191229.09
2013-07-29,572950041.35
2013-07-30,573997892.71
2013-07-31,575998395.6
2013-08-01,576906924.15
2013-08-02,579281842.88
2013-08-03,583531970.46
2013-08-04,584276331.41
2013-08-05,585825386.25
2013-08-06,586403504.82
2013-08-07,587131529.97
2013-08-08,587592189.32
2013-08-09,588056964.86
2013-08-10,588710423.57
2013-08-11,589307927.28
2013-08-12,589607025.56
2013-08-13,592768093.25
2013-08-14,593953603.63
2013-08-15,595546659.53
2013-08-16,596305887.38
2013-08-17,597363153.68
2013-08-18,598098722.2
2013-08-19,599603471.47
2013-08-20,600997673.53
2013-08-21,602798292.17
2013-08-22,604460344.13
2013-08-23,605887651.89
